OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN
January,Friday,2021,12,D43,,NO,NO,YES,141,Golfdale-Cedarbrae-Woburn (141),-79.21106853836375,43.76289989874722,1,0,0,0,0
January,Friday,2021,4,D33,,YES,NO,NO,052,Bayview Village (52),-79.38804471609475,43.766584388106,1,0,0,0,0
January,Friday,2021,2,D43,,NO,YES,NO,142,Woburn North (142),-79.24554680203721,43.7649325842189,1,0,0,0,0
January,Friday,2021,23,D13,,NO,YES,YES,109,Caledonia-Fairbank (109),-79.46054539434945,43.68899208356838,1,0,0,0,0
January,Friday,2021,23,D42,,NO,YES,YES,143,West Rouge (143),-79.17582969487913,43.806572487998004,1,0,0,0,0
January,Friday,2021,21,D41,,NO,NO,YES,119,Wexford/Maryvale (119),-79.31150497297504,43.75636972325097,1,0,1,0,0
January,Friday,2021,12,D31,,YES,NO,NO,027,York University Heights (27),-79.4864081970644,43.74479562250571,0,0,0,0,0
January,Friday,2021,16,D52,,YES,NO,NO,170,Yonge-Bay Corridor (170),-79.38644664092172,43.65088528998894,1,0,0,1,0
January,Friday,2021,5,D23,,NO,NO,YES,001,West Humber-Clairville (1),-79.63652515454557,43.74775008322088,1,0,0,0,0
January,Friday,2021,19,D23,,NO,NO,YES,002,Mount Olive-Silverstone-Jamestown (2),-79.59285006484198,43.74312897035097,1,0,0,0,0
January,Friday,2021,19,D42,,NO,YES,YES,130,Milliken (130),-79.28698981400815,43.81493389684187,1,0,0,0,0
January,Friday,2021,19,D32,,NO,NO,YES,034,Bathurst Manor (34),-79.46071098332948,43.770244589082175,1,0,0,0,0
January,Friday,2021,20,D43,,NO,YES,YES,141,Golfdale-Cedarbrae-Woburn (141),-79.23195398759286,43.74862508161583,1,0,0,0,0
January,Friday,2021,20,D42,,YES,NO,NO,128,Agincourt South-Malvern West (128),-79.25881393594842,43.789644067640666,1,0,1,0,0
January,Friday,2021,21,D11,,NO,NO,YES,084,Little Portugal (84),-79.44099011966875,43.65025750033206,1,0,0,0,0
January,Friday,2021,21,D33,,NO,NO,YES,119,Wexford/Maryvale (119),-79.30741586821695,43.73626653787107,1,0,0,0,0
January,Friday,2021,21,D12,,NO,NO,YES,113,Weston (113),-79.50817876125117,43.69624396779389,1,0,0,0,0
January,Friday,2021,19,D53,,NO,NO,YES,098,Rosedale-Moore Park (98),-79.36879826622467,43.6753481198241,1,0,0,0,0
January,Friday,2021,6,D32,,NO,YES,NO,032,Englemount-Lawrence (32),-79.438230979314,43.73027795499565,0,0,0,0,0
January,Friday,2021,14,D32,,NO,NO,YES,035,Westminster-Branson (35),-79.45658585777642,43.78812444323413,1,0,0,0,0
January,Friday,2021,13,D43,,NO,YES,NO,141,Golfdale-Cedarbrae-Woburn (141),-79.22935133513445,43.75691419494645,0,0,0,0,0
January,Friday,2021,10,D33,,NO,YES,NO,048,Hillcrest Village (48),-79.36865256338201,43.79676687698793,0,0,0,0,0
January,Friday,2021,9,D52,,NO,YES,NO,169,Bay-Cloverhill (169),-79.38648664743604,43.667161906327784,0,0,0,0,0
January,Friday,2021,13,D53,,NO,YES,YES,100,Yonge-Eglinton (100),-79.39731895108581,43.7017978195342,0,0,0,0,0
January,Friday,2021,19,D42,,YES,NO,NO,146,Malvern East (146),-79.20634557854976,43.806997193998605,1,0,0,0,0
January,Friday,2021,17,D23,,NO,NO,YES,002,Mount Olive-Silverstone-Jamestown (2),-79.58379757246055,43.74680967781584,1,0,0,0,0
January,Friday,2021,10,D22,,NO,NO,YES,018,New Toronto (18),-79.51394028287307,43.59883101073069,1,0,0,0,0
